galaxy_ID,r90
10216-12701,13.194493293762207
10216-12702,25.586795806884766
10216-12703,14.91884994506836
10216-12704,21.456188201904297
10216-12705,20.20953941345215
10216-1901,5.535414218902588
10216-1902,5.088282585144043
10216-3701,10.6108980178833
10216-3702,7.165597438812256
10216-3703,4.98946475982666
10216-3704,14.066515922546387
10216-6101,15.727636337280273
10216-6102,16.693021774291992
10216-6103,7.835508346557617
10216-6104,22.268774032592773
10216-9101,22.58759307861328
10216-9102,11.307080268859863
10217-12701,15.439337730407715
10217-12702,14.59179401397705
10217-12703,0.0
10217-12704,0.0
10217-12705,21.733671188354492
10217-1901,10.700623512268066
10217-1902,6.113289833068848
10217-3701,7.6390485763549805
10217-3702,9.015053749084473
10217-3703,7.334779739379883
10217-3704,7.9390058517456055
10217-6101,12.975996017456055
10217-6102,9.655149459838867
10217-6103,10.1354398727417
10217-6104,11.359188079833984
10217-9101,26.823286056518555
10217-9102,17.196395874023438
10218-12701,11.943232536315918
10218-12702,31.446914672851562
10218-12703,22.48019790649414
10218-12704,15.803350448608398
10218-12705,24.822359085083008
10218-1901,5.63979959487915
10218-1902,9.021188735961914
10218-3701,8.085277557373047
10218-3702,9.216607093811035
10218-3703,13.02869987487793
10218-3704,11.446887969970703
10218-6101,11.215166091918945
10218-6102,13.825362205505371
10218-6103,10.41734790802002
10218-6104,10.857674598693848
10218-9101,20.132295608520508
10218-9102,17.301395416259766
10219-12701,32.53722381591797
10219-12702,17.832759857177734
10219-12703,22.121034622192383
10219-12704,-9999.0
10219-12705,24.57366943359375
10219-1901,11.154495239257812
10219-1902,7.664741516113281
10219-3701,13.795555114746094
10219-3702,14.538572311401367
10219-3703,10.009114265441895
10219-3704,16.53104019165039
10219-6101,15.013901710510254
10219-6102,32.489952087402344
10219-6103,14.104201316833496
10219-6104,12.446319580078125
10219-9101,14.583284378051758
10219-9102,23.16202163696289
10220-12701,24.057260513305664
10220-12702,24.273719787597656
10220-12703,17.812768936157227
10220-12704,9.386651039123535
10220-12705,22.528318405151367
10220-1901,7.447479248046875
10220-1902,8.944098472595215
10220-3701,6.556093215942383
10220-3702,8.610125541687012
10220-3703,7.605611801147461
10220-3704,10.543283462524414
10220-6101,11.58475112915039
10220-6102,8.125286102294922
10220-6103,17.158607482910156
10220-6104,12.651718139648438
10220-9101,16.819217681884766
10220-9102,17.953853607177734
10221-12701,15.424158096313477
10221-12702,41.54155731201172
10221-12703,21.0483341217041
10221-12704,29.60074234008789
10221-12705,26.699800491333008
10221-1901,0.0
10221-1902,8.911840438842773
10221-3701,6.976042747497559
10221-3702,8.779059410095215
10221-3703,15.14918327331543
10221-3704,6.004887104034424
10221-6101,13.184797286987305
10221-6102,8.578831672668457
10221-6103,12.89502239227295
10221-6104,16.183834075927734
10221-9101,15.517882347106934
10221-9102,56.37694549560547
10222-12701,29.959999084472656
10222-12702,18.999073028564453
10222-12703,10.95050048828125
10222-12704,13.137179374694824
10222-12705,14.81309986114502
10222-1901,10.108518600463867
10222-1902,5.964723587036133
10222-3701,31.845487594604492
10222-3702,14.020834922790527
10222-3703,16.91991424560547
10222-3704,18.94623374938965
10222-6101,23.87224578857422
10222-6102,26.283321380615234
10222-6103,20.419166564941406
10222-6104,23.261194229125977
10222-9101,9.336836814880371
10222-9102,16.512521743774414
10223-12701,27.34714126586914
10223-12702,15.47356128692627
10223-12703,14.279022216796875
10223-12704,20.12811851501465
10223-12705,15.261943817138672
10223-1901,9.789281845092773
10223-1902,8.039423942565918
10223-3701,16.36301040649414
10223-3702,4.081783294677734
10223-3703,12.063647270202637
10223-3704,7.676131725311279
10223-6101,13.961517333984375
10223-6102,20.83665657043457
10223-6103,22.800947189331055
10223-6104,10.81342601776123
10223-9101,28.188995361328125
10223-9102,10.46591854095459
10224-12701,13.89004135131836
10224-12702,21.13810920715332
10224-12703,32.73028564453125
10224-12704,12.75937271118164
10224-12705,13.979170799255371
