galaxy_ID,A,Vin,SigD,Rd,rho0_h,Rh,incl,phi,x_cen,y_cen,Vsys,chi2
8245-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8245-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8245-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8245-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8245-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8245-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8245-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8245-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8245-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8245-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8245-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8245-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8245-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8245-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8245-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8245-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8247-12701,-0.9899986073654427,0.4443600244268579,532.429563234232,4.963913979465819,-5.699850896655821,4.379242194472379,0.5743556082011309,3.8753016552156154,28.922281569609286,31.34426639946116,-4.1795424621457,19.276924935466777
8247-12702,-1.1812845123607014,4.816900193761439,1395.3852835363602,12.972662905452717,-2.7421568819096804,2.60922818702236,0.5783071332121327,1.6371443014085307,35.46352638236415,37.868639565180096,-6.627371949607475,158.3088181360826
8247-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8247-12704,0.9999999999848556,3.7941128044062616e-09,647.9835750266209,4.079968919482706,-2.3029186979646026,2.3229595255765405,0.5872805526225071,2.7173672931107564,38.22995720219543,36.663750686729074,-8.313215449643879,17.39615641275453
8247-12705,-0.7650958213595007,3.0130649898816015,1221.0569732716046,3.4898643260324915,-2.0213026893653,2.816334225090547,0.5458750463345492,3.0440689110526913,37.111896459179505,37.521942783093415,3.1884197396984413,2.8636998706393153
8247-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8247-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8247-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8247-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8247-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8247-3704,-1.1895907876199723,9.999964931394546,0.10000028537585956,29.999927994916735,-1.083691692443643,999.9909778926133,0.5409104365876978,1.4475286141174448,26.444874847112505,29.3846268324387,3.1953109780486733,24.352206507682762
8247-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8247-6102,0.5337535348875886,0.46623209421331335,769.7692588589123,11.217175782872847,-2.004533245348501,999.9999987065099,0.6831306109652079,3.1357129754137083,16.000000000448615,23.15808802957034,19.21584488466459,28.12149051994156
8247-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8247-6104,-0.4173707464233934,0.9164380501265861,1242.4251728283832,1.4229118599871096,-0.5040199590480032,1.0483952197047852,0.5077530585824117,1.5323391894993668,26.722681721862152,28.17873922141077,-14.525534117301277,6.355041454988558
8247-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8247-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8248-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8248-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8248-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8248-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8248-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8248-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8248-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8248-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8248-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8248-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8248-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8248-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8248-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8248-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8248-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8248-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8248-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8249-12701,0.303036173452229,1.0948794749120925,0.10000073775888303,29.884208086917408,-5.4980177751847386,1.256018084185407,0.4524195959806604,4.490663029679869,37.85704906162256,38.432741324166265,21.57257292603509,34.26829372298706
8249-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8249-12703,0.7411086390057174,2.910292617871397,2998.5528399646123,16.824157428020904,1.9999337972526496,0.5041479001654279,0.10379502282441554,6.590955177482151,36.2763291831809,35.34674216750247,0.25980270504679115,81.44254767274687
8249-12704,0.47256922850787597,1.611203027759773,2999.9999425072683,28.20178076637843,1.9999465294527219,0.5248020302405134,0.11172981739890818,4.9483670367011925,35.65248097797999,35.996287452735494,2.0277915592039557,22.34742565186711
8249-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8249-1901,0.5587873016692083,0.7110437966523457,2088.383601987521,0.31400923221076626,0.16563536550900965,0.8986254127432152,0.41269513087749404,0.9416932370163988,17.92368138296991,16.844510425953295,-17.495610388025078,350.5660828144233
8249-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8249-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8249-3702,0.3485447825105452,0.193444427038196,663.0962601670711,0.6287579994755302,-0.816756484280575,2.7791212496062165,0.35467364917700933,4.049900630979438,19.870449978538936,21.846516311699958,-2.883463537490583,50.65208336819635
8249-3703,-2.379971459113231,9.99969973374542,137.70741053667993,11.624154180121998,-3.2036053200465746,999.7778948767018,0.5886886033497346,2.8206620272660294,30.87168251091762,21.2975497822778,7.738672450090245e-05,156.05996695150571
8249-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8249-6101,-1.5764814517443173,9.999940077610043,1112.7180589377995,30.0,-0.9296556002573823,999.9993999286363,0.6632345816417553,4.124520481995872,18.042425612067486,22.508542334677085,-34.58864922289297,164.12157788378155
8249-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8249-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8249-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8249-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8249-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8250-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8250-12702,0.8855575243652737,2.631028904605146,2999.9999444653436,29.9848302106474,-0.7020217754714249,3.133286181150731,0.10900069075718885,0.6591229747551397,35.70099135874782,37.891605185414726,26.96571698289758,39.979736626301424
8250-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8250-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8250-12705,0.03812896212913888,0.14181785856160553,1279.8575020478547,8.627549517910436,0.2976667590628441,0.1949411666717646,0.5029584469098579,3.8257493085388714,32.11985008956001,34.199653876814004,-0.05312361829283832,23.36840192553883
8250-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8250-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8250-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8250-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8250-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8250-3704,0.9999562927023637,9.999948720619646,2999.9998546083825,2.9091386100453285,0.20413332845144527,3.595120286512156,0.10407781162380154,3.2453247812046295,30.999959653039994,21.56573325349139,-14.721545233775064,7041.175634322421
8250-6101,0.05954190465432955,1.4350880857043382,1644.9535597931695,5.614455826507322,-1.1252442144520747,1.3903558211277505,0.5365694552001118,3.766518863755048,25.94288287542861,25.951640057409918,0.8371037156524583,856.6673396866131
8250-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8250-6103,-6.999989899872004,0.5568267649158057,2399.1630451868227,29.990536029786387,0.9474382130061648,1.7953618773979527,0.12351661237611919,5.628081806807619,31.7978648573649,24.160338688499884,13.338607042867487,22.270454192590176
8250-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8250-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8250-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8252-12701,-3.376843350731048,4.302563754189358,1.2614863414614546,29.99999999970163,-3.1308242212725172,3.8884441519778794,1.369683570343091,5.802797006688906,30.999999736677054,28.01501447254015,-2.493048111609439,5.330958575092668
8252-12702,-0.3517417011244206,3.2948344790203774,1633.6885884500039,19.358734000671284,-1.593942066464363,1.365686713925813,0.6219194219946275,1.6945994055330251,36.95828582811696,41.51214887076917,-14.835863505644799,116.11033035246687
8252-12703,-0.9821698231766848,2.7852151467605952,1464.314823116165,17.59300754996721,-6.999989877541005,1.747153430168005,0.5968194340929034,3.026996912839844,37.0302672438669,37.46461810130635,-1.3754085680211923,255.09489060296343
8252-12704,-1.9660695511270856,6.364107652154133,759.7068529017156,29.999984354732216,-0.4900188939253388,816.6888507104666,0.47058743370292083,3.1983094946001986,37.93559132061903,41.58127536556484,-32.52093887843021,213.33898065082008
8252-12705,0.9929761496625652,1.9847125936482843,107.05731073955083,28.379729680025537,-1.2570051056946485,1.352259281914728,0.10279641357517594,5.0337081715805345,36.78602372487727,37.64830859580204,10.769042799152846,5.871477935076914
8252-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8252-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8252-3701,0.36372755647547433,3.7873039456382553,2999.999998865083,1.1162911046766235,-2.205177689508407,1.173494340960078,0.5628640627371421,1.96665692701521,22.62379458642873,24.03807582802893,-28.65430322750486,158.30576202455035
8252-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8252-3703,0.6956243275743705,0.23101385035683167,2841.141723290574,9.729769262729784,-0.3575137935016812,4.255581846169039,0.3382256200608658,1.3999671983701605,24.64700223110242,18.543223396988257,-25.847809803787115,214.3312069393718
8252-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8252-6101,-0.8531545553433697,1.559834743456214,726.0036753978688,14.108286500545892,-6.65664674867064,3.0110765397924175,0.5434719151191283,3.6167085326149184,29.605059594433904,29.354600546139356,0.12074842842679367,6.249062309762374
8252-6102,-0.07324981819445046,1.0953409345779108,1050.6848013048623,28.8504162450433,-3.103832396643238,1.2273881172285355,0.9076908119879491,4.090832478308519,26.502139010030763,25.916609132153617,-10.36225123884314,419.5430787817872
8252-6103,0.8842402742415272,0.640827528818545,1296.8084180125502,24.313435322977583,1.1648345270857152,0.15395136069336096,0.47526086044803983,0.5258122762773598,26.197365756022247,27.5525183027161,46.53247736401247,2024.1027485867733
8252-6104,-0.3088019592195646,1.833694699072166,1287.7542218128344,2.2882380132786326,-1.8173917505475974,1.5093889064600323,0.6703108690368311,3.9130554402693116,27.06579398147053,25.697080401801752,5.556489205447957,22.860532345775532
8252-9101,0.04996400911980284,1.363642835543397,1843.0866392244868,3.3460631274785935,-0.5647792297478678,1.6023569305932517,0.543599493814161,1.027535195773778,33.1059888452512,32.97042321993208,17.05216188591821,222.19056590820335
8252-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8253-12701,-0.8750354216886298,4.0137493837859335,1124.4836680897731,10.823880918119098,-2.1759402138614177,2.994196239474299,0.5805442920399483,2.2522894042678137,37.34815273523219,38.47812854077986,-0.5691733258666138,10.76109556766037
8253-12702,0.9796941266909821,6.205417433284313,2999.9999444653436,5.371421788645104,0.1153063368754732,3.682431894870122,0.10171702811495902,6.1594788020023055,39.58524228737607,34.27315217388076,10.37146204991051,40.26360255542296
8253-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8253-12704,0.9999557615128748,0.5801889885912574,0.10019829592920534,29.99999990386671,1.2805193993540638,1.0726941406292896,0.20269459321651254,5.825067763204962,31.375905858604526,40.941198026706054,51.08715989117351,71.70155998714642
8253-12705,0.9999562929851473,1.0192943507584062,312.16616367938605,29.999965255629622,-2.2873800028684546,999.9999643930838,1.3696838010253207,4.815623001664447,32.524821370155614,68.9999659920796,6.008298658743438,708.6938163292799
8253-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8253-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8253-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8253-3702,-5.985381819066632,0.09031720122756702,2999.9998535980003,0.9698664135408565,1.9999999981735441,0.827972907702593,0.11009622348367727,6.362098265423608,22.363006130541322,20.887172886202723,17.07583710598813,29.92055183870852
8253-3703,0.9914565935053116,0.9825630041394734,2810.6596453114366,9.098383317841092,1.0022444915227358,0.9705354636216824,0.13393144122637776,0.9413139456947203,20.80467860633199,21.350998807196394,10.030300075102787,96.54434457112973
8253-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8253-6101,0.9999560911166282,1.7593339210370913,2999.9999999999964,8.371997863281711,1.9548001536147306,0.5623425131209759,0.10044604949724971,0.951894192090841,26.29518166123325,26.119770226342027,16.329452264091863,20.500418380086153
8253-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8253-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8253-6104,0.9971398997664691,1.5499801797234272,1459.092208983089,29.999999953347977,-0.24801149178394238,0.926435084298841,0.10404542331820367,5.685497863731886,25.994307800827663,26.401414092005687,17.352225933735525,5.931194295914714
8253-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8253-9102,-1.180768838481037,3.6805225196655984,531.3928716205577,7.18358304089961,1.2143238375911094,0.20181219556441898,0.43406017948848913,0.8907217717112312,30.932692187030984,33.22350910444879,22.412329459640638,188.555006448661
8254-12701,-0.3337463582881322,1.1961804992790142,352.7103247130225,19.883997440984512,-1.5993636369365885,12.751233520697713,0.7578084354023676,4.058755445720591,35.436754936880654,35.246061536333,-1.528319818062453,9.547340790546974
8254-12702,-0.9948568430719684,0.00011836773886004597,919.8344267602201,3.797582200503071,-1.6244366060938302,5.493463198725641,0.5879333030099304,1.756637681711671,37.17635492829266,37.69134054289473,6.384408961428493,6.102954282114417
8254-12703,-0.21915848007403613,3.5755684609037104,0.1033465660831838,29.999516808991952,-1.2878792552068639,11.643573922543752,0.3876448975905542,3.7822973561566346,27.000025295699857,34.41476634599426,-59.60736981899221,234.97076920665586
8254-12704,-0.6093293086888156,2.3387900152295344,303.95096215176534,7.555605966353143,-6.923106756513623,3.1276863062529587,0.6912881483260733,1.2784146585176093,37.040680196827246,35.74906387047806,1.207463798246913,46.22237832051034
8254-12705,-0.6459539100619808,3.9051034593386604,1073.1263568198056,6.188808104457513,-1.5657274464363444,84.15573915058849,0.5738186693679327,2.5730207417556015,41.279307193861584,36.729949768676654,-11.368967123454247,15.926106483945421
8254-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8254-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8254-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8254-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8254-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
