galaxy_ID,smoothness
10485-12702,nan
10485-12703,nan
10485-12704,nan
10485-12705,nan
10485-1901,nan
10485-1902,nan
10485-3701,nan
10485-3702,nan
10485-3703,nan
10485-3704,nan
10485-6101,nan
10485-6102,nan
10485-6103,nan
10485-6104,nan
10485-9101,nan
10485-9102,nan
10486-12701,nan
10486-12702,nan
10486-12703,nan
10486-12704,nan
10486-12705,nan
10486-1902,nan
10486-3701,nan
10486-3703,nan
10486-3704,nan
10486-6101,nan
10486-6102,nan
10486-6104,nan
10486-9101,nan
10486-9102,nan
10487-12701,nan
10487-12702,nan
10487-12703,nan
10487-12704,nan
10487-12705,nan
10487-1902,nan
10487-3701,nan
10487-3703,nan
10487-3704,nan
10487-6101,nan
10487-6102,nan
10487-6104,nan
10487-9101,nan
10487-9102,nan
10488-12701,nan
10488-12702,nan
10488-12703,nan
10488-12704,nan
10488-12705,nan
10488-1902,nan
10488-3701,nan
10488-3703,nan
10488-3704,nan
10488-6101,nan
10488-6102,nan
10488-6104,nan
10488-9101,nan
10488-9102,nan
10489-12701,nan
10489-12702,nan
10489-12703,nan
10489-12704,nan
10489-12705,nan
10489-1901,nan
10489-1902,nan
10489-3701,nan
10489-3702,nan
10489-3703,nan
10489-3704,nan
10489-6101,nan
10489-6102,nan
10489-6103,nan
10489-6104,nan
10489-9101,nan
10489-9102,nan
10490-12702,nan
10490-12703,nan
10490-12704,nan
10490-12705,nan
10490-1901,nan
10490-1902,nan
10490-3701,nan
10490-3702,nan
10490-3703,nan
10490-3704,nan
10490-6101,nan
10490-6102,nan
10490-6103,nan
10490-6104,nan
10490-9101,nan
10490-9102,nan
10491-12701,nan
10491-12702,nan
10491-12703,nan
10491-12704,nan
10491-12705,nan
10491-1901,nan
10491-1902,nan
10491-3701,nan
10491-3702,nan
10491-3703,nan
10491-3704,nan
10491-6101,nan
10491-6102,nan
10491-6103,nan
10491-6104,nan
10491-9101,nan
10491-9102,nan
10492-12701,0.764048814
10492-12702,1.08319621
10492-12703,1.57511463
10492-12704,0.701324451
10492-12705,1.723484904
10492-1901,1.664721612
10492-1902,1.18366672
10492-3701,2.699277742
10492-3702,3.00441872
10492-3703,2.1747154
10492-3704,0.839153424
10492-6101,2.103586547
10492-6102,0.658773166
10492-6103,1.04831776
10492-6104,1.830035448
10492-9101,1.233794153
10492-9102,0.900730358
10493-12701,1.260768331
10493-12702,1.661441251
10493-12703,1.224787409
10493-12704,1.453814726
10493-12705,1.325029912
10493-1901,2.455172409
10493-1902,2.063519719
10493-3701,0.455339163
10493-3702,2.540675456
10493-3703,2.449701695
10493-3704,1.444988532
10493-6101,2.491118926
10493-6102,2.194240696
10493-6103,2.352610618
10493-6104,1.931104198
10493-9101,1.410858091
10493-9102,0.999262083
10494-12701,1.982777582
10494-12702,2.931550093
10494-12703,2.609658726
10494-12704,1.891209474
10494-12705,0.895741641
10494-1901,2.144374838
10494-1902,3.047014323
10494-3701,0.480118377
10494-3702,2.820196889
10494-3703,2.947438226
10494-3704,1.145778601
10494-6101,0.47590537
10494-6102,2.562860068
10494-6103,2.463630909
10494-6104,2.760758787
10494-9101,0.596178603
10494-9102,1.300455555
10495-12701,1.240734037
10495-12702,2.638231211
10495-12703,1.920858331
10495-12704,1.430038122
10495-12705,1.531314717
10495-1901,0.551656343
10495-1902,2.89555003
10495-3701,1.820246164
10495-3702,0.516787903
10495-3703,2.612016576
10495-3704,2.811212183
10495-6101,1.821393613
10495-6102,1.322182298
10495-6103,0.784617809
10495-6104,2.413761412
10495-9101,0.987889219
10495-9102,2.477804319
10496-12701,1.452837941
10496-12702,0.550179198
10496-12703,1.546722366
10496-12704,1.333446265
10496-12705,0.869645421
10496-1901,0.937993488
10496-1902,2.496211306
10496-3701,2.454959561
10496-3702,0.662055909
10496-3703,2.474176595
10496-3704,2.355245897
10496-6101,0.548896718
10496-6102,0.535007313
10496-6103,1.179755306
10496-6104,2.681903342
10496-9101,2.64608859
10496-9102,1.336195547
10497-12701,1.692108245
10497-12702,2.520451848
10497-12703,1.437431537
10497-12704,2.632178116
10497-12705,1.159395877
10497-1901,1.156275861
10497-1902,1.766093154
10497-3701,0.837908813
10497-3702,1.328779088
10497-3703,1.614480488
10497-3704,2.332976534
10497-6101,0.83895357
10497-6102,2.620349758
10497-6103,2.004105856
10497-6104,1.500685408
10497-9101,2.769051698
10497-9102,0.625996961
10498-12701,1.809824643
10498-12702,0.80517943
10498-12703,2.490570357
10498-12704,0.854667044
10498-12705,0.505045157
10498-1901,nan
10498-1902,0.845445982
10498-3701,0.495854715
10498-3702,2.178768979
10498-3703,2.748416593
10498-3704,0.596070344
10498-6101,1.539246674
10498-6102,2.675940326
10498-6103,2.303106122
10498-6104,1.558316
10498-9101,0.51497181
10498-9102,2.508352179
10499-12701,1.131852738
10499-12702,2.376882846
10499-12703,2.556720444
10499-12704,1.307611808
10499-12705,0.674366303
10499-1901,0.951405008
10499-1902,0.568843655
10499-3701,2.288053249
10499-3702,0.769411647
10499-3703,0.593730726
10499-3704,0.473511745
10499-6101,2.29027468
10499-6102,1.490126807
10499-6103,0.665237687
10499-6104,2.127012323
10499-9101,2.456378594
10499-9102,1.91249222
10500-12701,1.729111328
10500-12702,0.966894417
10500-12703,1.42499577
10500-12704,1.143789918
10500-12705,2.812645307
10500-1901,0.582386971
10500-1902,2.761836694
10500-3701,2.294944099
10500-3702,1.227637443
10500-3703,0.806106098
10500-3704,2.556810157
10500-6101,0.801776738
10500-6102,1.529056333
10500-6103,2.601273397
10500-6104,0.484966304
10500-9101,2.595108305
10500-9102,2.295637132
10501-12701,0.922482481
10501-12702,1.061579921
10501-12703,0.911712363
10501-12704,0.884954399
10501-12705,1.877667228
10501-1901,0.796122441
10501-1902,0.804401679
10501-3701,0.827932589
10501-3702,3.249423959
10501-3703,0.570752223
10501-3704,1.879408691
10501-6101,0.802781676
10501-6102,1.098662529
10501-6103,2.186744337
10501-6104,1.926261668
10501-9101,2.362582679
10501-9102,0.719513598
10502-12701,1.796750691
10502-12702,2.719505692
10502-12703,1.321033753
10502-12704,1.692049627
10502-12705,1.174808048
10502-1901,0.545112796
10502-1902,0.72625202
10502-3701,2.718403231
10502-3702,2.15843866
10502-3703,2.922103797
10502-3704,2.078525493
10502-6101,2.688631267
10502-6102,2.703920642
10502-6103,0.447599469
10502-6104,0.877708034
10502-9101,2.087421085
10502-9102,2.591267032
10503-12701,0.899604616
10503-12702,0.871561577
10503-12703,1.099386267
10503-12704,1.21524518
10503-12705,2.638607911
10503-1901,1.731223847
10503-1902,2.941215376
10503-3701,2.504936089
10503-3702,2.760528188
10503-3703,0.969249999
10503-3704,3.095526435
10503-6101,2.737952496
10503-6102,1.442559988
10503-6103,2.683291733
10503-6104,1.072639961
10503-9101,2.939180731
10503-9102,0.860190923
10504-12701,1.783223439
10504-12702,2.860141054
10504-12703,1.191906702
10504-12704,0.740132441
10504-12705,2.523459721
10504-1901,2.530612033
10504-1902,2.989315278
10504-3701,2.614398378
10504-3702,2.749511894
10504-3703,1.032685138
10504-3704,2.470055893
10504-6101,2.543184696
10504-6102,2.668817749
10504-6103,2.666932767
10504-6104,0.402887374
10504-9101,1.251846598
10504-9102,0.581543424
10505-12701,1.769565161
10505-12702,2.805976275
10505-12703,1.330502021
10505-12704,1.479362991
10505-12705,2.661910515
10505-1901,2.469987475
10505-1902,2.626240666
10505-3701,2.366699055
10505-3702,2.672985768
10505-3703,2.029458572
10505-3704,2.548395409
10505-6101,2.22528206
10505-6102,2.750919569
10505-6103,2.175470135
10505-6104,1.90787516
10505-9101,0.998421171
10505-9102,2.595463397
10506-12701,1.869813972
10506-12702,1.145970352
10506-12703,1.048523994
10506-12704,1.280832667
10506-12705,1.51802113
10506-1901,1.683054816
10506-1902,2.552159036
10506-3701,1.719919512
10506-3702,2.016077677
10506-3703,0.639917334
10506-3704,2.23086258
10506-6101,1.32821082
10506-6102,1.095496162
10506-6103,2.656273024
10506-6104,1.05383282
10506-9101,0.521939104
10506-9102,1.759704227
10507-12701,2.518934462
10507-12702,1.337513815
10507-12703,1.181250109
10507-12704,1.430448949
10507-12705,0.938893501
10507-1901,1.664609462
10507-1902,nan
10507-3701,1.035913925
10507-3702,0.950704048
10507-3703,2.800689613
10507-3704,0.493124189
10507-6101,1.643378604
10507-6102,0.616297679
10507-6103,1.540657155
10507-6104,0.5784191
10507-9101,0.711471762
10507-9102,0.506003987
10508-12701,0.618665476
10508-12702,0.912380089
