galaxy_ID,r90,r_max
10223-6104,10.81342601776123,14.3431393797446
10223-9102,10.46591854095459,7.4583730366053365
10224-12701,13.89004135131836,17.289627243615413
10224-12702,21.13810920715332,4.100808257924254
10224-12703,32.73028564453125,29.127182441390676
10224-3702,18.765031814575195,3.322399228356909
10224-3703,9.8496675491333,8.200556541243047
10224-6101,15.231294631958008,7.127214951424887
10224-6103,12.255781173706055,5.132010351744807
10224-6104,13.04327392578125,7.0614923361971895
10224-9101,14.029115676879883,9.539597260263982
10224-9102,9.813444137573242,6.863382962719038
10225-12701,18.526473999023438,11.607593460313534
10225-12703,29.726036071777344,8.648577782186363
10225-12704,22.85931968688965,10.051663472102796
10225-3701,6.7680792808532715,5.457455584329053
10225-3704,8.187049865722656,6.586178276657685
10225-6101,7.740078926086426,18.38108940171333
10225-6102,17.9355411529541,4.471117494647372
10225-9101,9.220832824707031,19.357054964829437
10225-9102,20.46552085876465,3.7973088169282927
10226-12701,7.252110958099365,2.857690462402236
10226-12705,27.65411949157715,5.290433662148888
10226-1901,8.84770393371582,2.4301177997799512
10226-1902,6.363389492034912,2.9400380491485296
10226-3703,13.423309326171875,4.217361040216587
10226-3704,13.515166282653809,6.7829291094226
10226-6101,10.621346473693848,1.073654063558831
10226-6102,7.633764266967773,9.588434709005975
10226-9101,20.259437561035156,24.773307810320873
10492-12701,54.96684646606445,16.540452748604928
10492-12702,13.525334358215332,6.570434704773222
10492-12704,21.30145835876465,6.011152274250113
10492-12705,23.296724319458008,9.286896805780316
10492-1902,9.605598449707031,2.68970832425938
10492-3704,9.261298179626465,8.878925525956264
10492-6102,20.043203353881836,7.576855729838721
10492-9101,17.862810134887695,5.930144276563312
10492-9102,22.76698112487793,5.656037380661303
10493-12702,22.371885299682617,4.80390719960076
10493-12703,28.282297134399414,8.636969620731053
10493-12704,15.9149169921875,11.390625249323358
10493-12705,22.716154098510742,9.280731039721822
10493-3701,11.811490058898926,9.652574388391498
10493-9101,22.192413330078125,4.54688053932338
10493-9102,15.945043563842773,5.816339576585015
10494-12701,14.84027099609375,13.93210603553923
10494-12705,31.859352111816406,6.437241215664091
10494-3704,8.556514739990234,8.114447236299442
10494-6101,16.81553840637207,12.694143918297112
10494-9101,15.441673278808594,7.835728530806402
10494-9102,15.27879810333252,5.9182066121883645
10495-12701,13.920214653015137,29.96224238175722
10495-12704,12.701653480529785,12.183413767564664
10495-12705,10.131148338317871,10.300401835356547
10495-1901,16.854290008544922,10.268876893011253
10495-3702,17.304927825927734,5.068488445311719
10495-6102,9.680448532104492,8.545209923790456
10495-9101,17.877485275268555,11.842687955581226
10496-12701,11.177102088928223,12.336114196936096
10496-12702,23.690996170043945,16.212380641558827
10496-12705,11.679841995239258,10.619351577442746
10496-3702,14.481607437133789,3.5410234614129914
10496-6102,11.298110008239746,4.239602159266643
10496-6103,10.3077974319458,6.595045989831084
10496-9102,9.394349098205566,6.8752162949258375
10497-12701,22.24341583251953,3.77894602569605
10497-12703,10.853486061096191,8.919430487174552
10497-12705,11.50753402709961,8.762668676238746
10497-1901,4.218088626861572,3.2223201620424073
10497-3701,6.369406223297119,4.871261552847598
10497-6101,8.874866485595703,9.466907581124554
10497-6104,7.845780372619629,5.014305265346732
10497-9102,24.795759201049805,8.755372371244619
10498-12701,18.008630752563477,12.513766644533058
10498-12702,19.056196212768555,6.1466105450973005
