# galaxy_ID smoothness DL_ttype DL_PLTG DL_Visual_Class
10221-1902 0.8935757211538462 2.439246654510498 0.33504045009613037 3.0
10221-3701 1.3453762248411016 1.3184163570404053 0.5940936505794525 3.0
10221-3702 2.292100620529632 -2.9651033878326416 0.003738631960004568 1.0
10221-3703 2.7525495782964677 -1.6148747205734253 0.005319451447576284 1.0
10221-3704 1.0541622952656453 3.9187471866607666 0.9801323711872101 3.0
10221-6101 0.9573892230636503 4.232778549194336 0.9412035644054413 3.0
10221-6102 0.8767303116020115 2.9224658012390137 0.9902866184711456 3.0
10221-6103 0.44664379477140764 3.6002297401428223 0.9955376088619232 3.0
10221-6104 1.6763016239289315 2.577026844024658 0.8903172612190247 3.0
10221-9101 0.52678487235972 3.7383947372436523 0.9989374577999115 3.0
10221-9102 0.6646993420787694 -0.057993561029434204 0.17133623361587524 3.0
10222-12701 1.396873142408288 3.1534621715545654 0.911154568195343 3.0
10222-12702 0.6985115984946865 3.932392120361328 0.9954220652580261 3.0
10222-12703 1.8642336239242234 3.8914718627929688 0.9151106774806976 3.0
10222-12704 0.8183932405459743 2.385997772216797 0.9668586552143097 3.0
10222-12705 1.3050608792327476 6.357236862182617 0.9982860386371613 3.0
10222-1901 1.9121061456266535 -0.7480275630950928 0.18169667571783066 1.0
10222-1902 0.8925025978280072 2.903796911239624 0.896276980638504 2.0
10222-3701 0.6485961094798658 1.1317591667175293 0.7343920767307281 3.0
10222-3702 1.7025442660334282 -1.5412276983261108 0.0050358150620013475 1.0
10222-3703 1.434445913870913 -0.7563858032226562 0.020285580307245255 1.0
10222-3704 0.9396047856722671 2.7862703800201416 0.9671622216701508 3.0
10222-6101 0.3402597540264189 0.9084564447402954 0.17966929823160172 3.0
10222-6102 1.5721994996891737 4.357527732849121 0.8794862031936646 3.0
10222-6103 0.8696834834302903 4.836416244506836 0.9847154319286346 3.0
10222-6104 2.403012938196827 -1.3268123865127563 0.04730016179382801 1.0
10222-9101 1.5638127719401775 5.631702899932861 0.9909293353557587 3.0
10222-9102 1.0895418200925444 5.897508144378662 0.9857528507709503 3.0
10223-12701 2.854097572990675 -0.38079047203063965 0.09179414063692093 1.0
10223-12702 1.2371322248200527 6.472813129425049 0.9993005692958832 3.0
10223-12703 1.229413894127155 3.7483608722686768 0.9994907081127167 3.0
10223-12704 1.6053423626787058 5.233859539031982 0.9063122868537903 3.0
10223-12705 0.8655613359198513 6.293030738830566 0.9996835887432098 3.0
10223-1901 2.162968604244403 -0.051293179392814636 0.04517877846956253 1.0
10223-1902 0.5969515200014468 2.813537836074829 0.5342243164777756 3.0
10223-3701 0.7265411584555698 -0.26198092103004456 0.13030601292848587 2.0
10223-3702 2.035065646701389 -1.317915678024292 0.011451510712504387 2.0
10223-3703 0.6297030295095136 2.049384117126465 0.9876186847686768 3.0
10223-3704 2.4471862183487874 0.15694212913513184 0.056214483454823494 2.0
10223-6101 1.3957739319724747 7.86978816986084 0.9997791051864624 3.0
10223-6102 2.696290111214025 -0.8355614542961121 0.03437993675470352 1.0
10223-6103 2.7581672323547695 -1.5734392404556274 0.007832505274564028 1.0
10223-6104 1.3384393767412217 4.144146919250488 0.8680649697780609 3.0
10223-9101 1.7525196197444697 -1.4199893474578857 0.028749763034284115 2.0
10223-9102 1.8142570600117722 3.026493549346924 0.9580190479755402 3.0
10224-12701 1.8144153818114555 6.04180908203125 0.9924901127815247 3.0
10224-12702 1.627505119623268 6.356042385101318 0.991102933883667 3.0
10224-12703 1.1016215290895353 6.342678546905518 0.99957075715065 3.0
10224-12704 1.488635943124763 4.597921371459961 0.9843334853649139 3.0
10224-12705 1.6874830213953838 0.13818857073783875 0.6353800892829895 3.0
10224-1901 1.6513548793055075 -0.5608780384063721 0.024606438353657722 2.0
10224-1902 2.032630977487921 -0.19695143401622772 0.03510681167244911 1.0
10224-3701 1.4571455285904256 -1.450380802154541 0.010518901515752077 1.0
10224-3702 0.7563132022852375 0.08231145143508911 0.4293758422136307 3.0
10224-3703 0.8851783979875931 5.478662967681885 0.9959742426872253 3.0
10224-3704 1.7262004216512044 -1.3100950717926025 0.10019424930214882 2.0
10224-6101 0.4709048667919692 3.9523515701293945 0.9960737228393555 3.0
10224-6102 2.415776653476181 -1.8866698741912842 0.016108985990285873 1.0
10224-6103 0.8628739659926471 6.3858184814453125 0.9952329397201538 3.0
10224-6104 0.892955466689431 5.177133560180664 0.9943816065788269 3.0
10224-9101 0.8207108086135787 5.142907619476318 0.9939034879207611 3.0
10224-9102 1.7112856695563916 4.55534029006958 0.9735872447490692 3.0
10225-12701 1.5701044812236868 4.862680435180664 0.9787059724330902 3.0
10225-12702 2.2050959538795643 5.0910186767578125 0.9703089594841003 3.0
10225-12703 0.772223439209356 6.348611831665039 0.9988979697227478 3.0
10225-12704 1.947509672191925 0.7010494470596313 0.7711487412452698 3.0
10225-12705 2.3570587253869513 -2.472466468811035 0.012452627997845411 1.0
10225-1902 2.5020905365815036 0.9460336565971375 0.15254131704568863 2.0
10225-3701 1.3438892574100705 2.7577571868896484 0.46850697696208954 3.0
10225-3703 2.5415547266705567 -2.7465076446533203 0.0031568541890010238 1.0
10225-3704 0.5854119896734516 3.5255520343780518 0.9794968962669373 3.0
10225-6101 1.87625138389873 7.464812278747559 0.9984695911407471 3.0
10225-6102 0.944937519929847 7.607255458831787 0.999804824590683 3.0
10225-6104 2.3716905381944446 -2.043767213821411 0.007943817880004644 1.0
10225-9101 1.6531748268207573 2.45924711227417 0.9958783090114594 3.0
10225-9102 1.9746553154401882 6.372825622558594 0.98934605717659 3.0
10226-12701 1.900340263007199 3.1097941398620605 0.40862639248371124 3.0
10226-12702 2.488712029453311 -1.6189090013504028 0.011741186026483774 1.0
