galaxy_ID,Mb,Md,Mh_r90,Mh_2r90,Mh_3r90,M_HI,M_HII,Mtot_r90,Mtot_2r90,Mtot_3r90,NSA_Mstar,Mtot_(star_HI_Hii),M_h1,M_h2
9494-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,789444000.0,nan,nan,nan
9494-12703,10497952149.270027,701634235421.5828,2786881203.1768403,3980225661.5476656,4705721902.997209,nan,nan,714919068774.0297,716112413232.4004,716837909473.85,1671780000.0,1671780000.0,1e-99,1e-99
9494-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12169500000.0,nan,nan,nan
9494-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,542230000.0,nan,nan,nan
9494-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9241640000.0,nan,nan,nan
9494-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2586750000.0,nan,nan,nan
9494-3701,22031977141.3732,12623648010504.355,74915375008.97742,595697276107.5555,1998241662840.6821,nan,nan,12720595362654.705,13241377263753.283,14643921650486.41,8892450000.0,8892450001.0,1e-99,1.0
9494-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6976430000.0,nan,nan,nan
9494-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1471650000.0,nan,nan,nan
9494-3704,288109004.79521376,22053474818.72152,562897808.0786656,1157978607.1057565,1574907906.9174547,nan,nan,22904481631.5954,23499562430.62249,23916491730.43419,13401300000.0,17002647257.954014,1e-99,3601347257.954015
9494-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24818000000.0,nan,nan,nan
9494-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,384476000.0,nan,nan,nan
9494-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,211423000.0,nan,nan,nan
9494-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54954500000.0,nan,nan,nan
9494-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,86606400000.0,nan,nan,nan
9494-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11551800000.0,nan,nan,nan
9495-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6023530000.0,nan,nan,nan
9495-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3916760000.0,nan,nan,nan
9495-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,740740000.0,nan,nan,nan
9495-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1045120000.0,nan,nan,nan
9495-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3262570000.0,nan,nan,nan
9495-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,827334000.0,nan,nan,nan
9495-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,745099000.0,nan,nan,nan
9495-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2056400000.0,nan,nan,nan
9495-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5989610000.0,nan,nan,nan
9495-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8235730000.0,nan,nan,nan
9495-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2525400000.0,nan,nan,nan
9495-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1769770000.0,nan,nan,nan
9495-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4304900000.0,nan,nan,nan
9495-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4273490000.0,nan,nan,nan
9495-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,52829900000.0,nan,nan,nan
9495-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,68457200000.0,nan,nan,nan
9495-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1234010000.0,nan,nan,nan
9496-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11805400000.0,nan,nan,nan
9496-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9399320000.0,nan,nan,nan
9496-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54930800000.0,nan,nan,nan
9496-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13682100000.0,nan,nan,nan
9496-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9291700000.0,nan,nan,nan
9496-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1575750000.0,nan,nan,nan
9496-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8768950000.0,nan,nan,nan
9496-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11201300000.0,nan,nan,nan
9496-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1446330000.0,nan,nan,nan
9496-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3129560000.0,nan,nan,nan
9496-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46005600000.0,nan,nan,nan
9496-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1153240000.0,nan,nan,nan
9496-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,677705000.0,nan,nan,nan
9496-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4065960000.0,nan,nan,nan
9496-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4850870000.0,nan,nan,nan
9496-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,61627100000.0,nan,nan,nan
9496-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11004600000.0,nan,nan,nan
9497-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27183700000.0,nan,nan,nan
9497-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4148270000.0,nan,nan,nan
9497-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31823300000.0,nan,nan,nan
9497-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,774500000.0,nan,nan,nan
9497-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,55869400000.0,nan,nan,nan
9497-1901,11305980722.107779,1002923618227.1865,18731401929.708714,31244642402.566235,39245834431.73149,nan,nan,1032961000879.003,1045474241351.8606,1053475433381.0258,1194130000.0,7049090911.362872,5854960911.362872,1e-99
9497-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11312400000.0,nan,nan,nan
9497-3701,84601850836.76845,636085273741.5682,183474642008.0697,779885467162.3805,1486540264330.552,nan,nan,904161766586.4064,1500572591740.7173,2207227388908.8887,6728250000.0,19610834506.365135,12882584506.365133,1e-99
9497-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3243500000.0,nan,nan,nan
9497-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13248000000.0,nan,nan,nan
9497-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17035700000.0,nan,nan,nan
