galaxy_ID,A,Vin,SigD,Rd,rho0_h,Rh,incl,phi,x_cen,y_cen,Vsys,chi2,,,
7960-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7960-9101,0.97126632,1.341371279,2999.99991,29.99994016,-0.135766975,1.058164252,0.102271095,6.215458215,30.81690751,32.01954191,-4.554165152,4.119166375,good,,
7960-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7960-12701,0.804095314,0.600911147,1404.695934,29.99992042,-1.004996221,25.60225294,0.424820792,1.380440792,36.71560083,37.56732594,17.16807074,125.8844758,,,
7960-12702,-1.813712242,4.953788409,912.6615987,11.86058066,-0.666985438,5.652447255,0.538245208,3.799602641,37.54515322,40.99677109,-19.48194371,28.47515555,,,
7960-12703,0.936474211,2.62981444,2999.999812,22.18461591,-1.731788318,2.376856192,0.101829412,5.678835717,37.90091595,39.44578286,9.800260431,39.50687541,,,
7960-12704,0.860430556,0.630347325,2074.142914,29.44973669,-1.427881739,49.83439331,0.37033635,1.065012907,37.88212905,37.22050598,0.085280572,326.351855,,,
7960-12705,-0.896653099,0.011212815,1022.900366,3.164804762,-1.485764448,2.17568872,0.946692313,2.779536069,37.99080187,37.76483665,9.055244003,13.63702794,,,
7962-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7962-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7962-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7962-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7962-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7962-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7962-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7962-6102,0.902634082,4.945139084,899.5305355,2.121126356,-6.99994941,2.874061233,0.100071416,2.473744886,37.99995965,21.12903426,18.51700848,5111.128926,,,
7962-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7962-6104,0.755266074,0.363867594,2999.999944,13.47469712,1.577856142,1.226334465,0.156706603,5.102262124,27.18683279,27.22179305,6.533051155,61.19422573,,,
7962-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7962-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7962-12701,0.999956293,0.441929401,973.7746559,29.99993505,-6.999949835,854.1165561,0.257343598,1.842707513,38.53779425,28.00004035,7.890247436,126.7137896,,,
7962-12702,0.999956293,0.240499608,636.7096211,17.76472052,-2.225631626,955.1945645,0.562473127,2.639959553,44.06198156,38.72021551,1.392042844,1073.855223,,,
7962-12703,0.769548542,0.618916212,1297.374184,24.88410214,-1.133769901,39.55745456,0.601137708,0.694710047,39.2332163,39.28823064,28.53425491,113.8745533,,,
7962-12704,0.780311071,0.684151841,2726.388555,22.58789448,-0.777360561,31.01423326,0.253462558,1.61821368,35.9428566,35.2550891,2.157310756,44.90786639,,,
7962-12705,-0.645364006,4.408286109,514.700906,3.961858056,0.803938325,0.418520109,1.053830219,3.513177984,41.77359337,49.99588553,-61.45016835,68.42016907,,,
7964-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7964-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7964-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7964-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7964-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7964-3704,0.537133802,0.77166525,2517.918718,2.871230265,-0.740892732,0.787333183,0.109980754,0.496372622,22.50921195,23.00094145,-2.106469217,6.470193168,,,
7964-6101,0.830466604,0.666075206,1569.183243,29.99994836,-1.959504765,999.3904256,0.100048547,0.993387403,27.28074156,27.05205033,-0.321329464,2.947382961,,,
7964-6102,0.999956174,1.791069793,2731.440165,29.99996016,-0.933309311,999.9693872,0.100050605,2.3874055,37.01680266,16.00004029,12.30584664,1952.819492,,,
7964-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7964-6104,-0.249877152,2.169157932,1011.215272,8.326316067,-4.993936612,75.30812472,0.602367516,3.340474551,26.99379226,27.51371046,19.1311125,5.052516564,,,
7964-9101,-0.577415631,1.487098499,2550.086955,1.457598977,-0.963890619,7.733908675,0.797105743,2.053048642,33.08766393,33.14124401,2.214442266,38.32931275,,,
7964-9102,0.876940709,1.099928028,1046.13791,6.899429787,-2.361841057,6.074166863,0.393005779,4.112822547,33.46516587,32.79586531,4.727713594,43.45294033,,,
7964-12701,-1.092562253,1.889645363,187.7116719,16.10091309,-6.999948494,4.398876175,0.764394194,3.948792452,41.47393893,37.54795749,16.65934515,18.42022951,,,
7964-12702,0.91249575,3.003249618,589.3278,2.265571349,0.538480056,3.221880289,0.160216724,6.636140848,38.65090132,37.75919778,-5.95091074,14.09131622,,,
7964-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7964-12704,-1.482786259,4.999957681,1462.748962,18.52882378,-1.492408647,9.265322736,0.556683286,1.055776514,38.70627406,38.41477088,11.48798122,329.0871958,,,
7964-12705,-0.957418369,1.676821163,871.2507849,3.671076093,-1.367799439,5.621772551,0.533956684,2.899536122,38.00091589,41.3156674,-16.36224897,48.61781191,,,
7968-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7968-1902,-0.722716622,0.820358923,1818.909955,2.333428874,0.298181976,1.771195322,0.164062619,3.887855592,16.76067661,16.53310074,1.072472868,7.211698135,,,
7968-3701,0.941317626,1.015556954,195.0233885,3.259856404,1.999946661,382.0222898,0.100019815,3.641668121,31.99499022,31.24180803,75.68368976,149509.2222,,,
7968-3702,0.955272227,1.243084011,2999.983362,15.17138197,0.747485598,0.806093453,0.103147309,6.083734459,22.35212434,22.98697142,-0.414765765,3.740381348,,,
7968-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7968-3704,0.950305215,0.58310292,20.1111046,29.99990391,0.214659043,3.854922316,0.347876637,0.469771688,18.85404804,25.59758229,17.48326018,223.9329938,,,
7968-6101,0.946193892,2.408062419,2999.992428,29.99875502,1.999946529,0.687486002,0.100050605,5.738631147,27.29641679,26.12217434,-1.34639964,8.011713793,,,
7968-6102,-1.40296436,3.066497239,779.4711695,6.697564707,-3.363496442,12.38523253,0.627363526,2.876505394,26.56640721,26.84728922,8.195041726,5.09208741,,,
7968-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7968-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7968-9101,0.991248042,1.621343799,159.1427246,29.68728452,-0.043240848,1.510053862,0.436252404,4.214943475,33.09908381,34.51299176,32.48235998,176.4750689,,,
7968-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7968-12701,0.808589816,4.9944462,573.9635032,8.708250619,-1.032246254,5.206041978,0.101992585,1.116930588,36.96355161,36.20147994,15.37922906,97.18546894,,,
7968-12702,-0.662704814,2.119757194,1262.065759,18.96276199,-2.111841932,5.90035635,0.603607718,3.793002924,36.99345104,37.53238265,-3.651078896,106.208619,,,
7968-12703,0.91249327,4.646352719,2751.833968,29.99992976,-0.883175282,999.9999896,0.130536228,5.083274251,36.99639905,37.05940743,0.13938385,44.15695698,,,
7968-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7968-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7972-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7972-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7972-3701,0.132524799,2.056567375,484.9806595,1.258708274,0.022093591,2.604532849,0.191489409,2.226274525,16.86197,24.7288854,19.1896735,52.83106077,,,
7972-3702,0.08699509,1.992252341,1053.563535,10.00083067,1.297434541,0.102496773,0.55628856,1.799888433,22.85375597,22.25803168,5.562610667,3.932280833,,,
7972-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7972-3704,-0.18689008,4.999960166,59.99655582,29.87252848,-2.288894785,19.87066872,0.530577593,4.098951056,14.87717288,12.14510582,38.03304255,4174.131616,,,
7972-6101,0.999999949,4.999958077,2999.989334,5.875741162,0.550485009,5.215352125,0.194157628,0.26238103,20.17449719,23.70309296,-22.70197795,18.57561706,,,
7972-6102,0.841657482,3.388217497,0.120241952,29.99999999,1.360519695,1.797338365,0.100171078,0.537237441,30.83183034,32.20784596,26.78687516,34.99737746,,,
7972-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7972-6104,-1.102525055,1.166228012,9.570170874,3.209024711,-4.194512965,23.28148284,0.425128562,1.949886602,27.10016819,25.86523055,-1.05921577,1.900574333,,,
7972-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7972-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7972-12701,0.24531963,1.109607464,1962.477717,25.60964383,2,0.136643729,0.531175856,0.250018619,31.46406996,37.07057814,19.49315558,4.606865066,,,
7972-12702,0.36763201,4.059262775,2999.999944,23.48521474,-0.444475196,1.764071774,0.141841222,4.477634365,37.44639861,37.99995965,12.82556183,26.86710493,,,
7972-12703,0.999956293,0.089425427,71.33713927,29.99994926,-6.999949835,927.5597058,0.470909672,2.639959553,46.99995995,30.70836442,6.543562575,73.61811723,,,
7972-12704,0.999956293,1.909830056,1145.959837,11.52078374,-3.562305899,382.0278146,0.584995383,1.303138186,31.55156038,26.00004035,80.31604625,20321.66182,,,
7972-12705,0.848787053,2.146601509,2999.999813,19.40674733,1.440640917,0.100178494,0.101630559,5.08649963,37.19195576,39.81102806,-17.41992198,4.265864722,,,
7975-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7975-1902,0.630825449,4.99996654,2999.999984,3.384844205,1.903875193,0.509162787,0.247777176,4.465510315,16.95504027,16.40220872,8.507697904,111.6824197,,,
7975-3701,0.935345964,4.141528426,2700.058108,6.018849427,-1.395880738,3.556481915,0.102980396,5.790015241,19.67006748,22.11345321,3.054023408,80.75839192,,,
7975-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7975-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7975-3704,-0.413549482,0.218548314,1671.960289,2.019475802,-6.999949835,0.100042509,1.295130064,3.738407681,25.21708577,31.99995965,-13.66321435,112.1024695,,,
7975-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7975-6102,-0.216095175,1.410171643,1005.176621,3.247017234,-0.510665003,3.473397238,0.645019129,2.597355409,26.6751241,26.56015113,3.593056769,35.02160459,,,
7975-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7975-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7975-9101,0.943066001,2.085521674,2999.999999,29.89501948,-0.402914427,49.78527942,0.116269821,5.462299106,31.89505178,31.43291983,3.996899788,48.16863827,,,
7975-9102,-0.305816334,1.265616593,1401.397833,2.172299442,-0.460888408,1.596653901,0.554001374,3.76746386,32.08924656,30.52175801,17.13594447,181.0956071,,,
7975-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7975-12702,0.901158889,2.176821431,2999.999944,29.99999999,-0.346081987,498.1883981,0.107991068,3.504428607,39.0000294,41.5852657,-75.28165467,126.5599756,,,
7975-12703,-0.700125746,2.04218232,1257.680477,4.425777817,-1.831292358,6.181862715,0.556039607,3.155949747,38.08049147,40.17977774,-13.62214834,407.5672257,,,
7975-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7975-12705,-2.613336173,1.064277754,141.2304532,4.343646848,-2.011877292,922.3955088,0.758614225,2.261660412,33.54500722,33.91909659,20.17209103,46.66351271,,,
7977-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7977-1902,-0.000940084,1.592199083,1691.845589,8.952161468,-0.203841768,0.708910862,0.554246096,1.457103823,17.43040053,17.02882793,-2.533719106,491.0971386,,,
7977-3701,0.554573401,0.361167898,164.7215474,29.58274204,0.392088726,0.808652872,0.702956541,4.225896594,21.30077903,23.17702669,-23.76714406,5.144589719,,,
7977-3702,0.554201631,2.38E-06,2999.999944,29.99996569,1.641991934,2.541557459,0.118901047,5.057574837,22.05571455,22.66842538,36.36532795,10.14434507,,,
