galaxy_ID,rho0_b,Rb,SigD,Rd,rho0_h,Rh,incl,phi,x_cen,y_cen,Vsys,chi2
9033-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9033-12705,-1.388106235,2.666746621,391.6472391,0.156558339,-1.55575778,101.8083828,0.873760292,1.802648529,40.15339019,37.45034994,-20.44999785,691.911536
9033-1901,0.269864967,9.999945099,53.57099137,29.99994897,-1.515019352,999.9639756,0.100050605,3.068547114,25.99995995,15.56251151,0.880708631,1827.209435
9033-1902,0.999966577,0.863637549,2999.997815,1.808173843,-6.999949835,0.100045078,1.183385763,1.244485384,25.99994307,18.26396453,-99.99999998,2406.608627
9033-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9033-3702,0.759357154,4.982599304,2999.999944,2.108286948,0.56203218,0.82208194,0.205175732,5.464509723,27.19590291,16.49299385,22.22897443,45.32101692
9033-3703,0.732923634,1.382511194,0.131157743,29.9593053,1.266741748,1.523894449,0.100803727,5.877637642,21.76763884,21.43134739,9.641927965,47.00182151
9033-3704,0.282340904,1.118887231,0.103392995,2.542929634,-6.999949833,0.100045078,1.270714914,3.188481341,11.00004035,11.00004035,-69.69329447,142.8483325
9033-6101,-1.432638026,1.759624226,1497.505514,14.64146394,1.038871139,0.134129837,0.555061693,3.194903914,25.8487335,27.36724013,4.709182686,19.69446068
9033-6102,-0.468933386,3.526786395,1336.620186,29.99991288,-2.359792292,8.114697988,0.615446319,2.764227675,25.0364923,26.91390652,20.1757076,13.42415311
9033-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9033-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9033-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9033-9102,0.435262192,5.090823922,2999.999944,2.49228949,0.017698856,1.65664927,0.10693218,1.262634099,33.2368545,30.99935658,-9.943371706,88.43323221
9034-12701,0.733415197,0.510839263,1552.889374,11.36004905,-1.639490267,0.730576543,0.291515333,4.892653805,38.4944292,36.58019032,18.57049405,12.22522799
9034-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9034-12703,-0.368644968,3.911097838,1123.242531,21.9376687,-1.73318915,2.899236005,0.592741927,1.862434347,37.67460761,39.68330098,-2.413094524,99.90346552
9034-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9034-12705,-0.165745256,1.452918279,1.66930053,29.9999543,0.103708455,1.542226282,0.477854234,2.698334458,37.19811436,36.90583896,-9.948590522,8.432915336
9034-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9034-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9034-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9034-3702,0.237257929,0.985273607,2999.99849,3.137760378,-0.493224662,2.142418314,0.253577459,1.185533197,22.15299005,22.42318532,-5.087147596,96.93165858
9034-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9034-3704,0.172458602,8.435279477,1204.334165,1.691709121,-6.999949507,1.664023261,0.102397344,2.850687505,11.00004035,25.65807578,-19.45189326,455.8499179
9034-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9034-6102,-0.260291716,4.230189474,899.035905,12.59685523,-1.726702928,4.592220771,0.377459403,2.251551837,28.69061362,30.53546666,-34.24649181,10.56483878
9034-6103,0.150505094,1.77733401,1755.047882,29.89826671,1.065167211,0.113617365,0.944763579,3.268975253,32.5314722,30.96245806,-71.52118098,24.87603184
9034-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9034-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9034-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9035-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9035-12702,0.192238994,0.884611063,132.0300092,14.04223126,-1.631577977,8.477394904,0.656284157,4.129981712,37.50915981,36.94456005,11.1500588,9.793664528
