galaxy_ID,r90,r_max
10221-3704,6.004887104034424,4.701904297740102
10221-6101,13.184797286987305,5.424504592023325
10221-6102,8.578831672668457,16.766600574831568
10221-6103,12.89502239227295,8.2204516540493
10221-6104,16.183834075927734,3.4802217022550685
10221-9101,15.517882347106934,7.922059202920967
10222-12701,29.959999084472656,5.645133589746416
10222-12702,18.999073028564453,25.879881933250026
10222-12703,10.95050048828125,4.726231674072844
10222-12704,13.137179374694824,17.343214390673666
10222-12705,14.81309986114502,16.663772475741062
10222-3701,31.845487594604492,16.371136885834577
10222-3704,18.94623374938965,39.766347990350575
10222-6102,26.283321380615234,4.033345827884813
10222-6103,20.419166564941406,9.684023758135947
10222-9101,9.336836814880371,5.1561454054537155
10222-9102,16.512521743774414,8.140696475922732
10223-12702,15.47356128692627,13.36843993686603
10223-12703,14.279022216796875,10.415044714165091
10223-12704,20.12811851501465,8.9205654070248
10223-12705,15.261943817138672,10.04419389617205
10223-1902,8.039423942565918,1.686256731379532
10223-3703,12.063647270202637,3.959912099038832
10223-6101,13.961517333984375,3.5351746232457857
10223-6104,10.81342601776123,8.76094791024622
10223-9102,10.46591854095459,7.151108345256686
10224-12701,13.89004135131836,5.982910376510654
10224-12702,21.13810920715332,3.8632259052848883
10224-12703,32.73028564453125,29.91649509342539
10224-3702,18.765031814575195,3.376345351695483
10224-3703,9.8496675491333,8.0084090221889
10224-6101,15.231294631958008,7.292204366088129
10224-6103,12.255781173706055,4.9482184056028995
10224-6104,13.04327392578125,6.6375492730574415
10224-9101,14.029115676879883,10.581022824651955
10224-9102,9.813444137573242,6.8676049450605605
10225-12701,18.526473999023438,11.820462259528746
10225-12703,29.726036071777344,8.006222767000786
10225-12704,22.85931968688965,10.010378826565415
10225-3701,6.7680792808532715,5.474573893271828
10225-3704,8.187049865722656,6.792196679238766
10225-6101,7.740078926086426,6.5837421466481265
10225-6102,17.9355411529541,4.096911787449451
10225-9101,9.220832824707031,19.469917898554826
10225-9102,20.46552085876465,3.791740270005994
10226-12701,7.252110958099365,3.730317340163098
10226-12705,27.65411949157715,5.52754607266165
10226-1901,8.84770393371582,2.5164519053944674
10226-1902,6.363389492034912,2.795120806637514
10226-3703,13.423309326171875,3.8391004012874554
10226-3704,13.515166282653809,5.499409949129485
10226-6101,10.621346473693848,1.306795197755084
10226-6102,7.633764266967773,9.657521647224117
10226-9101,20.259437561035156,31.377546709461004
10492-12701,54.96684646606445,6.529471997754662
10492-12702,13.525334358215332,6.625941313222564
10492-12704,21.30145835876465,9.500802207457332
10492-12705,23.296724319458008,-1.6274970516577683
10492-1902,9.605598449707031,2.667177190661052
10492-3704,9.261298179626465,8.99184836269435
10492-6102,20.043203353881836,7.525941546836187
10492-9101,17.862810134887695,5.6904667928044
10492-9102,22.76698112487793,6.036293566474575
10493-12702,22.371885299682617,4.984584794711329
10493-12703,28.282297134399414,8.091966027816845
10493-12704,15.9149169921875,11.250948573342688
10493-12705,22.716154098510742,13.013809156098757
10493-3701,11.811490058898926,9.519231115981329
10493-9101,22.192413330078125,4.540176969578679
10493-9102,15.945043563842773,4.5038730779879055
10494-12701,14.84027099609375,46.45653824359487
10494-12705,31.859352111816406,6.48354470714084
10494-3704,8.556514739990234,7.888580722955863
10494-6101,16.81553840637207,12.539811767769354
10494-9101,15.441673278808594,6.426232973789115
10494-9102,15.27879810333252,6.756222217972512
10495-12701,13.920214653015137,28.35794028630653
10495-12704,12.701653480529785,12.742570754510659
10495-12705,10.131148338317871,10.28741565290962
10495-1901,16.854290008544922,10.215351449281401
10495-3702,17.304927825927734,4.921851796724266
10495-6102,9.680448532104492,10.255354561395686
10495-9101,17.877485275268555,11.994026616276054
10496-12701,11.177102088928223,12.241305782250015
10496-12702,23.690996170043945,26.952426838855512
10496-12705,11.679841995239258,11.308893438275485
10496-3702,14.481607437133789,6.057994986807603
10496-6102,11.298110008239746,4.4582855636897945
10496-6103,10.3077974319458,6.418144256719577
10496-9102,9.394349098205566,6.86047877355095
10497-12701,22.24341583251953,3.1582881048477183
10497-12703,10.853486061096191,8.910724704430596
