# %ECSV 0.9
# ---
# datatype:
# - {name: MaNGA_plate, datatype: int64}
# - {name: MaNGA_IFU, datatype: int64}
# - {name: NSAID, datatype: int64}
# - {name: ra, unit: deg, datatype: float64}
# - {name: dec, unit: deg, datatype: float64}
# - {name: redshift, datatype: float64}
# - {name: ba, datatype: float64}
# - {name: phi, unit: deg, datatype: float64}
# - {name: Mstar, unit: solMass, datatype: float64}
# - {name: rabsmag, datatype: float64}
# - {name: plate, datatype: int64}
# - {name: MJD, datatype: int64}
# - {name: fiberID, datatype: int64}
# - {name: index, datatype: int64}
# - {name: imc, datatype: float64}
# - {name: aimc, datatype: float64}
# - {name: smoothness_score, datatype: float64}
# - {name: logHI, unit: dex(solMass), datatype: float64}
# - {name: WF50, unit: km / s, datatype: float64}
# - {name: WP20, unit: km / s, datatype: float64}
# meta: !!omap
# - __serialized_columns__:
#     Mstar:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: solMass}
#       value: !astropy.table.SerializedColumn {name: Mstar}
#     WF50:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: km / s}
#       value: !astropy.table.SerializedColumn {name: WF50}
#     WP20:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: km / s}
#       value: !astropy.table.SerializedColumn {name: WP20}
#     dec:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id001 !astropy.units.Unit {unit: deg}
#       value: !astropy.table.SerializedColumn {name: dec}
#     logHI:
#       __class__: astropy.units.function.logarithmic.Dex
#       unit: !astropy.units.Unit {unit: dex(solMass)}
#       value: !astropy.table.SerializedColumn {name: logHI}
#     phi:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: phi}
#     ra:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: ra}
# schema: astropy-2.0
MaNGA_plate MaNGA_IFU NSAID ra dec redshift ba phi Mstar rabsmag plate MJD fiberID index imc aimc smoothness_score logHI WF50 WP20
7990 9101 25571 259.755481953 57.1734974561 0.0280084 0.379674 24.0345 6026810000.0 -19.162 355 51788 110 200348 2.0 20.88 1.1423782832841742 nan nan nan
7990 6101 25515 261.039484654 56.8744593789 0.0271715 0.609206 95.1817 3554360000.0 -18.5518 355 51788 10 203942 2.0 14.33 0.9004793744495367 nan nan nan
7990 9102 27382 260.96305 58.32173 0.0291846 0.264841 66.6321 11421100000.0 -19.8147 366 52017 273 1020774 1.0 1.0 1.6737492144222663 nan nan nan
7990 12701 26114 263.150147507 56.8452564886 0.0297644 0.841722 126.811 5582790000.0 -19.7536 358 51818 487 1022092 2.0 23.96 1.1895978954676998 nan nan nan
7990 6102 26076 261.466027821 56.8520506473 0.0267901 0.352905 25.9963 1338540000.0 -17.4683 358 51818 399 1020818 2.0 21.07 1.122476523878884 nan nan nan
7990 3703 26053 262.09934807 57.5454136595 0.0285483 0.620406 87.919 4774910000.0 -20.282 358 51818 364 1021414 2.0 159.13 0.5377917687098185 nan nan nan
7990 6104 27365 261.607611692 58.5888563574 0.026199 0.852867 50.2295 6931560000.0 -19.84 366 52017 236 1021381 2.0 100.65 0.4030293080998563 nan nan nan
7990 3702 26088 262.10003999 57.002098826 0.0296945 0.406663 171.202 2718210000.0 -18.1467 358 51818 424 729258 2.0 20.92 0.565863062917052 nan nan nan
7990 3704 26093 262.074921622 56.7747795712 0.0290645 0.822284 19.6478 8140500000.0 -19.4394 358 51818 434 729271 1.0 1.0 1.1598507188466611 nan nan nan
7990 6103 27469 261.284844944 58.7646874219 0.0292359 0.94203 67.0745 10385300000.0 -19.8386 366 52017 471 1021376 2.0 21.06 0.5657217244155535 nan nan nan
7990 1901 688063 264.455604594 57.1107078948 0.0300175 0.855235 0.376068 37776000000.0 -21.0246 0 0 0 -1 -1.0 -1.0 1.1767412026723225 nan nan nan
8322 3701 443125 199.066481776 30.264531572 0.0491864 0.871888 156.049 30956900000.0 -21.6512 2104 53852 123 1986946 2.0 59.25 0.39676402840772856 10.390000343322754 641.2019174447271 575.856499106411
8322 12705 611565 201.105947287 30.9592888955 0.0485022 0.76491 141.449 67004000000.0 -21.811 6492 56362 450 -1 -1.0 -1.0 0.8233691197879623 10.489999771118164 928.373689957415 229.76472594263782
8322 1902 611525 201.003014362 30.4612039592 0.0466295 0.746262 158.849 9366180000.0 -19.5913 6489 56329 776 -1 -1.0 -1.0 2.448471408420139 -999.0 -1500.7834445745948 -1500.7834445745948
